id_boleta,fecha,placa,marca,modelo,anio,tipo_vehiculo,estatus_suspension,tiempo_rampa_minutos,categoria_garantia,llantas_nuevas,balanceo,pinchadura,desviacion_inicial,alineacion_exitosa,observaciones
31,2025-10-22,cl-453678,toyota,echo,2008,sedan,dañado - decide reparar,0,cat b - reparacion,si,si,si,leve,no,
32,2025-10-22,llp-886,nissan,sentra,1997,sedan,optimo,35,cat a - garantizado,no,no,no,grave,si,
33,2025-10-22,cal-894,fiat,m-500,2006,sedan,optimo,35,cat a - garantizado,no,si,no,leve,si,
34,2025-10-22,cl-899776,nissan,frontier,2016,pick_up,optimo,45,cat a - garantizado,no,si,no,leve,si,
35,2025-10-22,cla-672,toyota,yaris,2014,sedan,optimo,25,cat a - garantizado,si,no,no,media,si,
36,2025-10-22,bmb-168,toyota,echo,2000,sedan,dañado - decide reparar,0,cat b - reparacion,no,si,si,leve,no,
37,2025-10-23,acl-897,nissan,sentra,1995,sedan,optimo,40,cat a - garantizado,si,si,no,leve,si,
38,2025-10-23,act-733,hyundai,tucson,2008,suv,optimo,30,cat a - garantizado,no,si,no,media,si,
39,2025-10-23,art-976,hyundai,terracan,2000,4x4,optimo,35,cat a - garantizado,no,no,no,leve,si,
40,2025-10-23,vhy-009,toyota,rav-4,2006,4x4,optimo,30,cat a - garantizado,no,si,si,grave,si,
41,2025-10-23,vll-345,honda,civic,2006,sedan,optimo,25,cat a - garantizado,no,no,no,leve,si,
42,2025-10-23,cl-990934,toyota,hylux,2012,pick_up,dañado - decide reparar,0,cat b - reparacion,no,si,no,leve,no,
43,2025-10-23,cgy-879,hyundai,elantra,2016,sedan,optimo,30,cat a - garantizado,no,si,no,media,si,
44,2025-10-23,act-733,nissan,paifanter,2016,4x4,optimo,40,cat a - garantizado,no,si,si,grave,si,
45,2025-10-24,757151,hyundai,accent,1995,sedan,optimo,25,cat a - garantizado,si,no,no,leve,si,
46,2025-10-24,vbl-324,ford,fiesta,2009,sedan,optimo,20,cat a - garantizado,si,si,no,grave,si,
47,2025-10-24,act-733,hyundai,tucson,2008,suv,optimo,20,cat a - garantizado,si,si,no,leve,si,
48,2025-10-24,cl-675993,toyota,hylux,2007,pick_up,dañado - decide reparar,0,cat b - reparacion,no,no,si,media,no,
49,2025-10-24,fft-377,kia,rio,2016,sedan,optimo,35,cat a - garantizado,no,si,si,grave,si,
50,2025-10-24,alm-455,kia,serato,2018,sedan,optimo,30,cat a - garantizado,si,si,no,leve,si,
51,2025-10-24,pkm-433,nissan,quasqai,2018,suv,optimo,35,cat a - garantizado,no,no,no,media,si,
52,2025-10-24,bvl-671,chevrolet,beat,2021,sedan,optimo,25,cat a - garantizado,si,si,si,leve,si,
53,2025-10-24,agb-523,nissan,sentra,1997,sedan,dañado - decide reparar,0,cat b - reparacion,no,si,no,grave,no,
54,2025-10-24,crv-675,honda,crv,2007,suv,optimo,30,cat a - garantizado,no,si,no,media,si,
55,2025-10-24,cry-506,nissan,quasqai,2016,suv,optimo,45,cat a - garantizado,no,no,si,media,si,
56,2025-10-24,agb-675,toyota,echo,2002,sedan,optimo,25,cat a - garantizado,no,si,no,media,si,
57,2025-10-24,ard-138,nissan,sentra,1997,sedan,optimo,35,cat a - garantizado,no,no,no,leve,si,
58,2025-10-24,sgb-234,honda,civic,2001,sedan,dañado - decide reparar,0,cat b - reparacion,no,no,si,grave,no,
59,2025-10-25,cl-985678,kia,bongo,2005,pick_up,dañado - acepta sin garantia,20,cat c - sin garantia,no,no,no,grave,no,
60,2025-10-25,pkm-433,nissan,quasqai,2018,suv,dañado - decide reparar,0,cat b - reparacion,si,si,no,grave,no,
61,2025-10-25,sgb-234,honda,civic,2001,sedan,optimo,30,cat a - garantizado,no,no,no,media,si,
62,2025-10-25,bmb-168,toyota,echo,2000,sedan,dañado - decide reparar,0,cat b - reparacion,no,no,si,media,no,
63,2025-10-25,757151,hyundai,accent,1995,sedan,dañado - decide reparar,0,cat b - reparacion,no,si,no,media,no,
64,2025-10-25,cl-138971,toyota,hylux,2020,pick_up,optimo,35,cat a - garantizado,no,no,no,media,si,
65,2025-10-25,cbn-674,nissan,sentra,1999,sedan,optimo,25,cat a - garantizado,no,si,no,media,si,
66,2025-10-25,bna-126,hyundai,elantra,2012,sedan,optimo,40,cat a - garantizado,si,si,no,media,si,
67,2025-10-27,aet-472,toyota,corolla,2014,sedan,optimo,35,cat a - garantizado,no,si,si,media,si,
68,2025-10-27,arb-694,honda,crv,2008,suv,optimo,45,cat a - garantizado,si,no,no,media,si,
69,2025-10-27,cl-906538,toyota,hylux,2012,pick_up,dañado - decide reparar,0,cat b - reparacion,no,no,no,grave,no,
70,2025-10-27,act-733,hyundai,accent,2011,sedan,optimo,40,cat a - garantizado,no,no,no,media,si,
71,2025-10-27,cgt-692,mazda,seis,2011,sedan,optimo,35,cat a - garantizado,no,si,no,grave,si,
72,2025-10-27,bbn-991,nissan,sentra,1999,sedan,optimo,30,cat a - garantizado,no,si,si,leve,si,
73,2025-10-27,chi-894,toyota,echo,2000,sedan,optimo,30,cat a - garantizado,no,no,no,grave,si,
74,2025-10-27,agb-523,nissan,sentra,1997,sedan,dañado - decide reparar,0,cat b - reparacion,si,si,no,grave,no,
75,2025-10-27,hii-091,toyota,yaris,2013,sedan,optimo,40,cat a - garantizado,si,si,no,leve,si,
76,2025-10-27,cl-897689,toyota,tacoma,2011,pick_up,dañado - decide reparar,0,cat b - reparacion,si,no,no,media,no,
77,2025-10-27,iil-558,chevrolet,sparck,2012,sedan,optimo,30,cat a - garantizado,si,no,no,grave,si,
78,2025-10-28,llm-092,suzuki,vitara,2018,suv,optimo,35,cat a - garantizado,si,no,si,leve,si,
79,2025-10-28,sgb-234,honda,civic,2001,sedan,dañado - decide reparar,0,cat b - reparacion,si,si,no,leve,no,
80,2025-10-28,lki-004,mitsubishi,montero,2000,4x4,optimo,45,cat a - garantizado,si,no,no,leve,si,
81,2025-10-28,lip-870,mitsubishi,lancer,2008,sedan,optimo,25,cat a - garantizado,si,no,no,media,si,
82,2025-10-28,cl-453678,toyota,echo,2008,sedan,dañado - decide reparar,0,cat b - reparacion,si,si,si,leve,no,
83,2025-10-28,llp-886,nissan,sentra,1997,sedan,optimo,35,cat a - garantizado,no,no,no,grave,si,
84,2025-10-28,cal-894,fiat,m-500,2006,sedan,optimo,35,cat a - garantizado,no,si,no,leve,si,
85,2025-10-28,cl-899776,nissan,frontier,2016,pick_up,optimo,45,cat a - garantizado,no,si,no,leve,si,
86,2025-10-29,cla-672,toyota,yaris,2014,sedan,optimo,25,cat a - garantizado,si,no,no,media,si,
87,2025-10-29,bmb-168,toyota,echo,2000,sedan,dañado - decide reparar,0,cat b - reparacion,no,si,si,leve,no,
88,2025-10-29,acl-897,nissan,sentra,1995,sedan,optimo,40,cat a - garantizado,si,si,no,leve,si,
89,2025-10-29,act-733,hyundai,tucson,2008,suv,optimo,30,cat a - garantizado,no,si,no,media,si,
90,2025-10-29,art-976,hyundai,terracan,2000,4x4,optimo,35,cat a - garantizado,no,no,no,leve,si,
91,2025-10-29,vhy-009,toyota,rav-4,2006,4x4,optimo,30,cat a - garantizado,no,si,si,grave,si,
92,2025-10-29,vll-345,honda,civic,2006,sedan,optimo,25,cat a - garantizado,no,no,no,leve,si,
93,2025-10-29,cl-990934,toyota,hylux,2012,pick_up,dañado - decide reparar,0,cat b - reparacion,no,si,no,leve,no,
94,2025-10-29,cgy-879,hyundai,elantra,2016,sedan,optimo,30,cat a - garantizado,no,si,no,media,si,
95,2025-10-29,act-733,nissan,paifanter,2016,4x4,optimo,40,cat a - garantizado,no,si,si,grave,si,
96,2025-10-30,757151,hyundai,accent,1995,sedan,optimo,25,cat a - garantizado,si,no,no,leve,si,
97,2025-10-30,vbl-324,ford,fiesta,2009,sedan,optimo,20,cat a - garantizado,si,si,no,grave,si,
98,2025-10-30,act-733,hyundai,tucson,2008,suv,optimo,20,cat a - garantizado,si,si,no,leve,si,
99,2025-10-30,cl-675993,toyota,hylux,2007,pick_up,dañado - decide reparar,0,cat b - reparacion,no,no,si,media,no,
100,2025-10-30,fft-377,kia,rio,2016,sedan,optimo,35,cat a - garantizado,no,si,si,grave,si,
101,2025-10-30,alm-455,kia,serato,2018,sedan,optimo,30,cat a - garantizado,si,si,no,leve,si,
102,2025-10-30,pkm-433,nissan,quasqai,2018,suv,optimo,35,cat a - garantizado,no,no,no,media,si,
103,2025-10-30,bbn-991,nissan,sentra,1999,sedan,optimo,30,cat a - garantizado,no,si,si,leve,si,
104,2025-10-30,chi-894,toyota,echo,2000,sedan,optimo,30,cat a - garantizado,no,no,no,grave,si,
105,2025-10-31,agb-523,nissan,sentra,1997,sedan,dañado - decide reparar,0,cat b - reparacion,si,si,no,grave,no,
106,2025-10-31,hii-091,toyota,yaris,2013,sedan,optimo,40,cat a - garantizado,si,si,no,leve,si,
107,2025-10-31,cl-897689,toyota,tacoma,2011,pick_up,dañado - decide reparar,0,cat b - reparacion,si,no,no,media,no,
108,2025-10-31,iil-558,chevrolet,sparck,2012,sedan,optimo,30,cat a - garantizado,si,no,no,grave,si,
109,2025-10-31,llm-092,suzuki,vitara,2018,suv,optimo,35,cat a - garantizado,si,no,si,leve,si,
110,2025-10-31,sgb-c111:o171,honda,civic,2001,sedan,dañado - decide reparar,0,cat b - reparacion,si,si,no,leve,no,
111,2025-10-31,lki-004,mitsubishi,montero,2000,4x4,optimo,45,cat a - garantizado,si,no,no,leve,si,
112,2025-10-31,lip-870,mitsubishi,lancer,2008,sedan,optimo,25,cat a - garantizado,si,no,no,media,si,
113,2025-10-31,cl-453678,toyota,echo,2008,sedan,dañado - decide reparar,0,cat b - reparacion,si,si,si,leve,no,
114,2025-10-31,llp-886,nissan,sentra,1997,sedan,optimo,35,cat a - garantizado,no,no,no,grave,si,
115,2025-10-31,cal-894,fiat,m-500,2006,sedan,optimo,35,cat a - garantizado,no,si,no,leve,si,
116,2025-11-01,cl-899776,nissan,frontier,2016,pick_up,optimo,45,cat a - garantizado,no,si,no,leve,si,
117,2025-11-01,cla-672,toyota,yaris,2014,sedan,optimo,25,cat a - garantizado,si,no,no,media,si,
118,2025-11-01,bmb-168,toyota,echo,2000,sedan,dañado - decide reparar,0,cat b - reparacion,no,si,si,leve,no,
119,2025-11-01,acl-897,nissan,sentra,1995,sedan,optimo,40,cat a - garantizado,si,si,no,leve,si,
120,2025-11-01,act-733,hyundai,tucson,2008,suv,optimo,30,cat a - garantizado,no,si,no,media,si,
121,2025-11-01,art-976,hyundai,terracan,2000,4x4,optimo,35,cat a - garantizado,no,no,no,leve,si,
122,2025-11-01,vhy-009,toyota,rav-4,2006,4x4,optimo,30,cat a - garantizado,no,si,si,grave,si,
123,2025-11-01,vll-345,honda,civic,2006,sedan,optimo,25,cat a - garantizado,no,no,no,leve,si,
124,2025-11-01,cl-990934,toyota,hylux,2012,pick_up,dañado - decide reparar,0,cat b - reparacion,no,si,no,leve,no,
125,2025-11-03,cgy-879,hyundai,elantra,2016,sedan,optimo,30,cat a - garantizado,no,si,no,media,si,
126,2025-11-03,act-733,nissan,paifanter,2016,4x4,optimo,40,cat a - garantizado,no,si,si,grave,si,
127,2025-11-03,757151,hyundai,accent,1995,sedan,optimo,25,cat a - garantizado,si,no,no,leve,si,
128,2025-11-03,vbl-324,ford,fiesta,2009,sedan,optimo,20,cat a - garantizado,si,si,no,grave,si,
129,2025-11-03,act-733,hyundai,tucson,2008,suv,optimo,20,cat a - garantizado,si,si,no,leve,si,
130,2025-11-03,cl-675993,toyota,hylux,2007,pick_up,dañado - decide reparar,0,cat b - reparacion,no,no,si,media,no,
131,2025-11-03,fft-377,kia,rio,2016,sedan,optimo,35,cat a - garantizado,no,si,si,grave,si,
132,2025-11-03,alm-455,kia,serato,2018,sedan,optimo,30,cat a - garantizado,si,si,no,leve,si,
133,2025-11-03,pkm-433,nissan,quasqai,2018,suv,optimo,35,cat a - garantizado,no,no,no,media,si,
134,2025-11-03,llm-092,suzuki,vitara,2018,suv,optimo,35,cat a - garantizado,si,no,si,leve,si,
135,2025-11-03,sgb-234,honda,civic,2001,sedan,dañado - decide reparar,0,cat b - reparacion,si,si,no,leve,no,
136,2025-11-03,lki-004,mitsubishi,montero,2000,4x4,optimo,45,cat a - garantizado,si,no,no,leve,si,
137,2025-11-03,lip-870,mitsubishi,lancer,2008,sedan,optimo,25,cat a - garantizado,si,no,no,media,si,
138,2025-11-03,cl-453678,toyota,echo,2008,sedan,dañado - decide reparar,0,cat b - reparacion,si,si,si,leve,no,
139,2025-11-03,llp-886,nissan,sentra,1997,sedan,optimo,35,cat a - garantizado,no,no,no,grave,si,
140,2025-11-03,cal-894,fiat,m-500,2006,sedan,optimo,35,cat a - garantizado,no,si,no,leve,si,
141,2025-11-03,cl-899776,nissan,frontier,2016,pick_up,optimo,45,cat a - garantizado,no,si,no,leve,si,
142,2025-11-03,cla-672,toyota,yaris,2014,sedan,optimo,25,cat a - garantizado,si,no,no,media,si,
143,2025-11-03,bmb-168,toyota,echo,2000,sedan,dañado - decide reparar,0,cat b - reparacion,no,si,si,leve,no,
144,2025-11-03,acl-897,nissan,sentra,1995,sedan,optimo,40,cat a - garantizado,si,si,no,leve,si,
145,2025-11-03,act-733,hyundai,tucson,2008,suv,optimo,30,cat a - garantizado,no,si,no,media,si,
146,2025-11-05,art-976,hyundai,terracan,2000,4x4,optimo,35,cat a - garantizado,no,no,no,leve,si,
147,2025-11-05,vhy-009,toyota,rav-4,2006,4x4,optimo,30,cat a - garantizado,no,si,si,grave,si,
148,2025-11-05,vll-345,honda,civic,2006,sedan,optimo,25,cat a - garantizado,no,no,no,leve,si,
149,2025-11-05,cl-990934,toyota,hylux,2012,pick_up,dañado - decide reparar,0,cat b - reparacion,no,si,no,leve,no,
150,2025-11-05,cgy-879,hyundai,elantra,2016,sedan,optimo,30,cat a - garantizado,no,si,no,media,si,
151,2025-11-05,act-733,nissan,paifanter,2016,4x4,optimo,40,cat a - garantizado,no,si,si,grave,si,
152,2025-11-05,757151,hyundai,accent,1995,sedan,optimo,25,cat a - garantizado,si,no,no,leve,si,
153,2025-11-05,vbl-324,ford,fiesta,2009,sedan,optimo,20,cat a - garantizado,si,si,no,grave,si,
154,2025-11-05,act-733,hyundai,tucson,2008,suv,optimo,20,cat a - garantizado,si,si,no,leve,si,
155,2025-11-05,cl-675993,toyota,hylux,2007,pick_up,dañado - decide reparar,0,cat b - reparacion,no,no,si,media,no,
156,2025-11-05,fft-377,kia,rio,2016,sedan,optimo,35,cat a - garantizado,no,si,si,grave,si,
157,2025-11-05,alm-455,kia,serato,2018,sedan,optimo,30,cat a - garantizado,si,si,no,leve,si,
158,2025-11-05,acl-897,nissan,sentra,1995,sedan,optimo,40,cat a - garantizado,si,si,no,leve,si,
159,2025-11-05,act-733,hyundai,tucson,2008,suv,optimo,30,cat a - garantizado,no,si,no,media,si,
160,2025-11-05,art-976,hyundai,terracan,2000,4x4,optimo,35,cat a - garantizado,no,no,no,leve,si,
161,2025-11-06,vhy-009,toyota,rav-4,2006,4x4,optimo,30,cat a - garantizado,no,si,si,grave,si,
162,2025-11-06,vll-345,honda,civic,2006,sedan,optimo,25,cat a - garantizado,no,no,no,leve,si,
163,2025-11-06,cl-990934,toyota,hylux,2012,pick_up,dañado - decide reparar,0,cat b - reparacion,no,si,no,leve,no,
164,2025-11-06,cgy-879,hyundai,elantra,2016,sedan,optimo,30,cat a - garantizado,no,si,no,media,si,
165,2025-11-06,act-733,nissan,paifanter,2016,4x4,optimo,40,cat a - garantizado,no,si,si,grave,si,
166,2025-11-06,757151,hyundai,accent,1995,sedan,optimo,25,cat a - garantizado,si,no,no,leve,si,
167,2025-11-06,vbl-324,ford,fiesta,2009,sedan,optimo,20,cat a - garantizado,si,si,no,grave,si,
168,2025-11-06,act-733,hyundai,tucson,2008,suv,optimo,20,cat a - garantizado,si,si,no,leve,si,
169,2025-11-06,cl-675993,toyota,hylux,2007,pick_up,dañado - decide reparar,0,cat b - reparacion,no,no,si,media,no,
170,2025-11-06,fft-377,kia,rio,2016,sedan,optimo,35,cat a - garantizado,no,si,si,grave,si,
171,2025-11-06,alm-455,kia,serato,2018,sedan,optimo,30,cat a - garantizado,si,si,no,leve,si,
172,2025-11-06,pkm-433,nissan,quasqai,2018,suv,optimo,35,cat a - garantizado,no,no,no,media,si,
173,2025-11-06,bbn-991,nissan,sentra,1999,sedan,optimo,30,cat a - garantizado,no,si,si,leve,si,
174,2025-11-06,chi-894,toyota,echo,2000,sedan,optimo,30,cat a - garantizado,no,no,no,grave,si,
175,2025-11-07,agb-523,nissan,sentra,1997,sedan,dañado - decide reparar,0,cat b - reparacion,si,si,no,grave,no,
176,2025-11-07,hii-091,toyota,yaris,2013,sedan,optimo,40,cat a - garantizado,si,si,no,leve,si,
177,2025-11-07,cl-897689,toyota,tacoma,2011,pick_up,dañado - decide reparar,0,cat b - reparacion,si,no,no,media,no,
178,2025-11-07,iil-558,chevrolet,sparck,2012,sedan,optimo,30,cat a - garantizado,si,no,no,grave,si,
179,2025-11-07,llm-092,suzuki,vitara,2018,suv,optimo,35,cat a - garantizado,si,no,si,leve,si,
180,2025-11-07,sgb-234,honda,civic,2001,sedan,dañado - decide reparar,0,cat b - reparacion,si,si,no,leve,no,
181,2025-11-07,lki-004,mitsubishi,montero,2000,4x4,optimo,45,cat a - garantizado,si,no,no,leve,si,
182,2025-11-07,lip-870,mitsubishi,lancer,2008,sedan,optimo,25,cat a - garantizado,si,no,no,media,si,
183,2025-11-07,cl-453678,toyota,echo,2008,sedan,dañado - decide reparar,0,cat b - reparacion,si,si,si,leve,no,
184,2025-11-07,llp-886,nissan,sentra,1997,sedan,optimo,35,cat a - garantizado,no,no,no,grave,si,
185,2025-11-07,alm-455,kia,serato,2018,sedan,optimo,30,cat a - garantizado,si,si,no,leve,si,
186,2025-11-08,pkm-433,nissan,quasqai,2018,suv,optimo,35,cat a - garantizado,no,no,no,media,si,
187,2025-11-08,llm-092,suzuki,vitara,2018,suv,optimo,35,cat a - garantizado,si,no,si,leve,si,
188,2025-11-08,sgb-234,honda,civic,2001,sedan,dañado - decide reparar,0,cat b - reparacion,si,si,no,leve,no,
189,2025-11-08,lki-004,mitsubishi,montero,2000,4x4,optimo,45,cat a - garantizado,si,no,no,leve,si,
190,2025-11-08,lip-870,mitsubishi,lancer,2008,sedan,optimo,25,cat a - garantizado,si,no,no,media,si,
191,2025-11-08,cl-453678,toyota,echo,2008,sedan,dañado - decide reparar,0,cat b - reparacion,si,si,si,leve,no,
192,2025-11-08,llp-886,nissan,sentra,1997,sedan,optimo,35,cat a - garantizado,no,no,no,grave,si,
193,2025-11-08,cal-894,fiat,m-500,2006,sedan,optimo,35,cat a - garantizado,no,si,no,leve,si,
194,2025-11-08,cl-899776,nissan,frontier,2016,pick_up,optimo,45,cat a - garantizado,no,si,no,leve,si,
195,2025-11-08,cla-672,toyota,yaris,2014,sedan,optimo,25,cat a - garantizado,si,no,no,media,si,
196,2025-11-08,bmb-168,toyota,echo,2000,sedan,dañado - decide reparar,0,cat b - reparacion,no,si,si,leve,no,
197,2025-11-08,acl-897,nissan,sentra,1995,sedan,optimo,40,cat a - garantizado,si,si,no,leve,si,
198,2025-11-08,act-733,hyundai,tucson,2008,suv,optimo,30,cat a - garantizado,no,si,no,media,si,
199,2025-11-10,art-976,hyundai,terracan,2000,4x4,optimo,35,cat a - garantizado,no,no,no,leve,si,
200,2025-11-10,vhy-009,toyota,rav-4,2006,4x4,optimo,30,cat a - garantizado,no,si,si,grave,si,
201,2025-11-10,vll-345,honda,civic,2006,sedan,optimo,25,cat a - garantizado,no,no,no,leve,si,
202,2025-11-10,cl-990934,toyota,hylux,2012,pick_up,dañado - decide reparar,0,cat b - reparacion,no,si,no,leve,no,
203,2025-11-10,cgy-879,hyundai,elantra,2016,sedan,optimo,30,cat a - garantizado,no,si,no,media,si,
204,2025-11-10,act-733,nissan,paifanter,2016,4x4,optimo,40,cat a - garantizado,no,si,si,grave,si,
205,2025-11-10,757151,hyundai,accent,1995,sedan,optimo,25,cat a - garantizado,si,no,no,leve,si,
206,2025-11-10,vbl-324,ford,fiesta,2009,sedan,optimo,20,cat a - garantizado,si,si,no,grave,si,
207,2025-11-10,act-733,hyundai,tucson,2008,suv,optimo,20,cat a - garantizado,si,si,no,leve,si,
208,2025-11-10,cl-675993,toyota,hylux,2007,pick_up,dañado - decide reparar,0,cat b - reparacion,no,no,si,media,no,
209,2025-11-10,fft-377,kia,rio,2016,sedan,optimo,35,cat a - garantizado,no,si,si,grave,si,
210,2025-11-10,alm-455,kia,serato,2018,sedan,optimo,30,cat a - garantizado,si,si,no,leve,si,
211,2025-11-10,acl-897,nissan,sentra,1995,sedan,optimo,40,cat a - garantizado,si,si,no,leve,si,
212,2025-11-10,act-733,hyundai,tucson,2008,suv,optimo,30,cat a - garantizado,no,si,no,media,si,
213,2025-11-10,art-976,hyundai,terracan,2000,4x4,optimo,35,cat a - garantizado,no,no,no,leve,si,
214,2025-11-10,vhy-009,toyota,rav-4,2006,4x4,optimo,30,cat a - garantizado,no,si,si,grave,si,
215,2025-11-11,vll-345,honda,civic,2006,sedan,optimo,25,cat a - garantizado,no,no,no,leve,si,
216,2025-11-11,cl-990934,toyota,hylux,2012,pick_up,dañado - decide reparar,0,cat b - reparacion,no,si,no,leve,no,
217,2025-11-11,cgy-879,hyundai,elantra,2016,sedan,optimo,30,cat a - garantizado,no,si,no,media,si,
218,2025-11-11,act-733,nissan,paifanter,2016,4x4,optimo,40,cat a - garantizado,no,si,si,grave,si,
219,2025-11-11,757151,hyundai,accent,1995,sedan,optimo,25,cat a - garantizado,si,no,no,leve,si,
220,2025-11-11,713914,mitsubishi,lancer,2003,sedan,optimo,35,cat a - garantizado,si,no,no,leve,si,
221,2025-11-11,byt-290,hyundai,accent,2000,sedan,optimo,45,cat a - garantizado,si,si,si,grave,si,
222,2025-11-11,bvg-551,hyundai,tucson,2004,suv,optimo,30,cat a - garantizado,no,no,si,grave,si,
223,2025-11-11,cl-265920,kia,bongo,2005,4x4,optimo,30,cat a - garantizado,si,no,si,media,si,
224,2025-11-11,bvg-551,hyundai,tucson,2007,suv,optimo,25,cat a - garantizado,si,no,no,grave,si,
225,2025-11-13,fdc-100,hyundai,santa-fe,2012,suv,optimo,20,cat a - garantizado,si,si,si,media,si,
226,2025-11-13,460052,hyundai,accent,1995,sedan,optimo,25,cat a - garantizado,si,no,no,media,si,
227,2025-11-13,cl-246120,mitsubishi,l200,2005,pick_up,optimo,35,cat a - garantizado,si,si,si,media,si,
228,2025-11-13,pkm-433,nissan,quasqai,2018,suv,dañado - decide reparar,0,cat b - reparacion,si,si,no,grave,no,
229,2025-11-13,sgb-234,honda,civic,2001,sedan,optimo,30,cat a - garantizado,no,no,no,media,si,
230,2025-11-13,bmb-168,toyota,echo,2000,sedan,dañado - decide reparar,0,cat b - reparacion,no,no,si,media,no,
231,2025-11-13,757151,hyundai,accent,1995,sedan,dañado - decide reparar,0,cat b - reparacion,no,si,no,media,no,
232,2025-11-13,cl-138971,toyota,hylux,2020,pick_up,optimo,35,cat a - garantizado,no,no,no,media,si,
233,2025-11-13,cbn-674,nissan,sentra,1999,sedan,optimo,25,cat a - garantizado,no,si,no,media,si,
234,2025-11-13,bna-126,hyundai,elantra,2012,sedan,optimo,40,cat a - garantizado,si,si,no,media,si,
235,2025-11-13,aet-472,toyota,corolla,2014,sedan,optimo,35,cat a - garantizado,no,si,si,media,si,
236,2025-11-13,arb-694,honda,crv,2008,suv,optimo,45,cat a - garantizado,si,no,no,media,si,
237,2025-11-13,cl-906538,toyota,hylux,2012,pick_up,dañado - decide reparar,0,cat b - reparacion,no,no,no,grave,no,
238,2025-11-14,act-733,hyundai,accent,2011,sedan,optimo,40,cat a - garantizado,no,no,no,media,si,
239,2025-11-14,cgt-692,mazda,seis,2011,sedan,optimo,35,cat a - garantizado,no,si,no,grave,si,
240,2025-11-14,bbn-991,nissan,sentra,1999,sedan,optimo,30,cat a - garantizado,no,si,si,leve,si,
